DL_REQUEST_ID,DL_REQUEST_NAME,DL_SNAPSHOT_START_TIME,DL_SNAPSHOT_TZ,IDENTIFIER,RC,DATE,PX_VOLUME,PX_OPEN
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-10-01,936,5869.8
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-10-02,1225,5967.8
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-10-03,997,5987
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-10-04,788,5985.8
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-10-07,1064,5990
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-10-08,1307,6008
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-10-09,991,6010
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-10-10,1430,6037
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-10-11,1558,6050
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-10-14,1327,6059
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-10-15,999,6029
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-10-16,914,6030
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-10-17,1151,6050
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-10-18,1159,6099
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-10-21,739,6040
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-10-22,1098,6020
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-10-23,396,6011.6
