Date,Price,volume,open_price,Year,USDZAR Curncy,W 1 Comdty,W 2 Comdty,WZ1 Comdty,YW1 Comdty,year_month,max_temp,precipitation,avg_temp,min_temp,active_flag,day
2019-07-11,4449,266.0,4438.0,2019,13.9687,536.25,521.5,2899.0,2789.0,201907,66.0578,1.225,53.575,41.08095,0,Thursday
2019-07-18,4430,266.0,4426.0,2019,13.8411,493.5,505.25,2933.0,2803.0,201907,66.0578,1.225,53.575,41.08095,0,Thursday
2019-07-25,4436,137.0,4429.0,2019,14.0812,499.5,507.25,2897.0,2804.0,201907,66.0578,1.225,53.575,41.08095,0,Thursday
2019-08-01,4458,393.0,4465.0,2019,14.6674,475.75,480.75,2906.0,2798.0,201908,70.1527,0.3866664999999999,56.5621,42.96775,0,Thursday
2019-08-08,4522,1669.0,4495.0,2019,15.0405,498.5,500.0,3027.0,2871.0,201908,70.1527,0.3866664999999999,56.5621,42.96775,0,Thursday
2019-08-15,4639,1380.0,4590.0,2019,15.2777,469.0,474.5,2942.0,2783.0,201908,70.1527,0.3866664999999999,56.5621,42.96775,0,Thursday
2019-08-22,4679,831.0,4660.0,2019,15.2479,467.25,471.75,2803.0,2697.0,201908,70.1527,0.3866664999999999,56.5621,42.96775,0,Thursday
2019-08-29,4678,781.0,4699.0,2019,15.3122,469.75,472.75,2784.0,2689.0,201908,70.1527,0.3866664999999999,56.5621,42.96775,0,Thursday
2019-09-05,4549,565.0,4575.0,2019,14.8829,464.0,466.25,2746.0,2599.0,201909,75.41555,0.6116665,61.47725,47.5283,0,Thursday
2019-09-12,4532,470.0,4520.0,2019,14.5995,485.75,483.75,2739.0,2607.0,201909,75.41555,0.6116665,61.47725,47.5283,0,Thursday
2019-09-19,4515,378.0,4507.0,2019,14.8191,488.0,494.25,2798.0,2663.0,201909,75.41555,0.6116665,61.47725,47.5283,0,Thursday
2019-09-26,4545,309.0,4500.0,2019,15.0091,484.25,490.25,2889.0,2764.0,201909,75.41555,0.6116665,61.47725,47.5283,0,Thursday
2019-10-03,4614,653.0,4600.0,2019,15.1481,488.75,496.25,2904.0,2812.0,201910,77.55835,1.6541665,64.54169999999999,51.51565,0,Thursday
2019-10-10,4615,432.0,4615.0,2019,15.0498,493.0,499.75,2976.0,2900.0,201910,77.55835,1.6541665,64.54169999999999,51.51565,0,Thursday
2019-10-17,4515,1414.0,4534.0,2019,14.8333,525.5,530.25,2974.0,2866.0,201910,77.55835,1.6541665,64.54169999999999,51.51565,0,Thursday
2019-10-24,4457,1376.0,4478.0,2019,14.7012,516.0,521.25,2871.0,2775.0,201910,77.55835,1.6541665,64.54169999999999,51.51565,0,Thursday
2019-10-31,4515,2736.0,4478.4,2019,15.1008,508.75,514.75,2806.0,2755.0,201910,77.55835,1.6541665,64.54169999999999,51.51565,0,Thursday
2019-11-07,4382,1291.0,4374.0,2019,14.742,512.5,517.25,2636.0,2633.0,201911,80.65195,1.1308335,68.54165,56.42165,0,Thursday
2019-11-14,4395,2164.0,4405.0,2019,14.8254,507.75,511.0,2712.0,2656.0,201911,80.65195,1.1308335,68.54165,56.42165,0,Thursday
2019-11-21,4358,1812.0,4362.0,2019,14.6842,509.0,512.0,2710.0,2655.0,201911,80.65195,1.1308335,68.54165,56.42165,0,Thursday
2019-11-28,4405,1911.0,4390.0,2019,14.7092,,,2872.0,2751.0,201911,80.65195,1.1308335,68.54165,56.42165,0,Thursday
2019-12-05,4385,504.0,4390.0,2019,14.6492,532.0,523.75,2671.0,2634.0,201912,78.85,3.0958335000000003,68.47905,58.0992,0,Thursday
2019-12-12,4435,956.0,4400.0,2019,14.4955,539.25,530.25,2631.0,2575.0,201912,78.85,3.0958335000000003,68.47905,58.0992,0,Thursday
2020-05-07,4904,208.0,4925.0,2020,18.5938,529.0,522.5,2637.0,2590.0,202005,69.8761,0.9225,57.4073,44.92155,0,Thursday
2020-05-14,4932,359.0,4915.0,2020,18.4443,510.5,502.25,2644.0,2611.0,202005,69.8761,0.9225,57.4073,44.92155,0,Thursday
2020-05-21,4882,385.0,4900.0,2020,17.5926,516.0,518.75,2682.0,2674.0,202005,69.8761,0.9225,57.4073,44.92155,0,Thursday
2020-05-28,4815,97.0,4840.0,2020,17.5119,514.5,517.75,2375.0,2507.0,202005,69.8761,0.9225,57.4073,44.92155,0,Thursday
2020-06-04,4771,553.0,4751.0,2020,16.9097,523.75,527.5,2384.0,2504.0,202006,65.92115000000001,1.381667,53.2778,40.61975,0,Thursday
2020-06-11,4760,220.0,4751.0,2020,17.1696,499.25,505.75,2396.0,2508.0,202006,65.92115000000001,1.381667,53.2778,40.61975,0,Thursday
2020-06-18,4837,917.0,4810.0,2020,17.473,483.5,488.75,2552.0,2666.0,202006,65.92115000000001,1.381667,53.2778,40.61975,0,Thursday
2020-06-25,4875,372.0,4865.0,2020,17.149,486.75,488.25,2509.0,2623.0,202006,65.92115000000001,1.381667,53.2778,40.61975,0,Thursday
2020-07-02,4792,1215.0,4774.0,2020,16.9699,490.0,492.0,2608.0,2723.0,202007,66.26585,0.9391665,52.54675,38.81345,0,Thursday
2020-07-09,4826,683.0,4845.0,2020,16.8355,526.25,525.0,2627.0,2727.0,202007,66.26585,0.9391665,52.54675,38.81345,0,Thursday
2020-07-16,4805,348.0,4815.0,2020,16.7593,535.25,540.75,2521.0,2611.0,202007,66.26585,0.9391665,52.54675,38.81345,0,Thursday
2020-07-23,4797,282.0,4811.0,2020,16.6652,529.5,534.75,2586.0,2648.0,202007,66.26585,0.9391665,52.54675,38.81345,0,Thursday
2020-07-30,4848,1099.0,4835.0,2020,16.7637,529.5,536.0,2670.0,2737.0,202007,66.26585,0.9391665,52.54675,38.81345,0,Thursday
2020-08-06,4939,1835.0,4904.0,2020,17.4242,501.25,508.25,2799.0,2854.0,202008,65.86449999999999,1.605833,52.73875,39.59655,0,Thursday
